CPU keygen,CPU encryption,CPU decryption
439093,29,4754
741961,40,4015
206210,21,4496
236628,44,4169
304880,40,4209
500478,37,4056
166284,33,3959
146396,16,3908
1403403,15,4693
224743,38,4091
274955,43,3927
229425,16,5124
262814,57,6065
194944,54,6148
211224,43,5386
294406,92,5799
283474,52,5040
154550,61,5945
332745,73,5570
104437,38,4868
127539,64,5417
249522,44,3963
175239,22,4090
310805,23,4540
186852,43,4622
463967,33,3950
181041,15,5093
499137,91,5883
628533,32,4721
168363,44,4166
227541,26,4041
109529,19,4057
346982,23,4407
355194,52,4669
875651,39,4123
217377,22,4109
354733,32,4532
441622,88,5008
376758,21,3983
433377,16,4007
382913,73,5063
297746,207,4680
422468,22,4003
344042,16,4245
306819,123,6992
4403614,193,5812
329064,44,4485
366839,229,4979
388424,64,4125
283753,21,4153
165565,171,5232
368943,43,4111
305534,15,3968
212185,16,4199
517337,131,5255
150771,40,4086
328134,16,3975
108985,16,4128
287956,37,4057
244679,25,4108
139834,16,3955
249397,17,4057
264591,83,4191
179727,18,4050
271677,15,3941
196970,16,3956
519367,23,4003
196557,17,3949
228384,16,3940
241911,16,3956
297439,16,3938
270645,16,3961
237193,15,3981
104557,16,3962
302205,17,4135
235585,21,4011
253961,16,3861
233784,16,3938
283212,15,3890
624805,16,3857
185220,17,3851
452986,16,3901
735285,17,4800
207371,33,3955
165879,17,3931
159470,15,3893
408382,16,4051
214814,19,3887
376700,23,4088
211336,20,4127
360236,18,4158
177899,20,3978
131022,16,4157
737956,17,4174
355526,19,5224
370795,32,4112
303290,18,4298
612800,26,4214
403712,23,4582
170966,32,4014
